profile_id,model,served_model_name,vllm_image,max_model_len,gpu_memory_utilization,max_num_seqs,max_num_batched_tokens,cpu_request,memory_request,cpu_limit,memory_limit,model_cache_size,shm_size,description
default,,,,,,,,,,,,,,default checked-in serving profile
long-context,,,,9216,0.90,32,9216,,,,,,,comparable long-context profile for the full KV-cache matrix
long-context-fp8-kv,,,,9216,0.90,32,9216,,,,,,,long-context profile with FP8 KV cache storage on existing one GPU hardware
long-context-fp8-kv-static-scales,,,,9216,0.90,32,9216,,,,,,,long-context FP8 KV cache profile without runtime KV scale calculation
long-context-fp8-kv-seqs-12,,,,9216,0.90,12,9216,,,,,,,FP8 KV cache profile capped to the baseline observed running sequence depth
long-context-seqs-16,,,,9216,0.90,16,9216,,,,,,,long-context scheduler variant that trades concurrency for lower tail latency
long-context-seqs-24,,,,9216,0.90,24,9216,,,,,,,long-context scheduler variant between the conservative and default sequence limits
long-context-batched-16384,,,,9216,0.90,32,16384,,,,,,,long-context scheduler variant that tests whether larger batched-token capacity improves prefill throughput
